tree_id,name,source_prefab_name,source_prefab_index,source_prefab_path,x,y,z,rotation_y,scale_x,scale_y,scale_z,height,radius,bbox_size_x,bbox_size_y,bbox_size_z,renderer_count,collider_count
411,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,842.5343,96.6493,264.0610,357.8891,1.0000,1.0000,1.0000,22.8586,9.5960,19.1920,22.8586,16.4422,1,1
412,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,658.7971,118.0741,216.7549,293.5101,1.0000,1.0000,1.0000,23.5764,12.1438,24.2875,23.5764,23.8921,1,1
413,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,810.4803,149.1422,111.7824,347.9108,1.0000,1.0000,1.0000,23.5764,11.0140,21.4416,23.5764,22.0280,1,1
414,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,832.6991,117.7113,943.7078,82.9800,1.0000,1.0000,1.0000,22.8586,10.2056,17.9248,22.8586,20.4112,1,1
415,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,286.0626,119.9312,373.5402,136.5957,1.0000,1.0000,1.0000,22.4601,12.7454,25.4909,22.4601,25.2985,1,1
416,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,365.4174,113.5978,650.0906,234.4921,1.0000,1.0000,1.0000,22.4601,12.8131,24.4871,22.4601,25.6263,1,1
417,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,789.4312,118.4477,375.8719,6.8937,1.0000,1.0000,1.0000,22.8586,10.1908,20.3817,22.8586,17.8883,1,1
418,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,125.7762,96.9929,226.6586,205.9314,1.0000,1.0000,1.0000,22.8586,11.8218,23.6436,22.8586,22.3236,1,1
419,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,682.2565,139.2237,107.6662,340.7059,1.0000,1.0000,1.0000,22.8586,11.3938,22.7875,22.8586,21.0350,1,1
420,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,900.9247,99.4383,769.4072,332.6975,1.0000,1.0000,1.0000,22.4601,12.6261,25.2522,22.4601,23.1524,1,1
421,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,557.8108,114.3982,570.6523,15.3740,1.0000,1.0000,1.0000,22.8586,11.0688,22.1375,22.8586,20.1402,1,1
