tree_id,name,source_prefab_name,source_prefab_index,source_prefab_path,x,y,z,rotation_y,scale_x,scale_y,scale_z,height,radius,bbox_size_x,bbox_size_y,bbox_size_z,renderer_count,collider_count
317,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,851.1876,97.3584,265.1664,291.9846,1.0000,1.0000,1.0000,23.5764,12.0199,24.0398,23.5764,23.6178,1,1
318,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,631.1151,128.3392,842.7828,179.1759,1.0000,1.0000,1.0000,22.4601,10.3135,20.6271,22.4601,15.8134,1,1
319,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,791.2925,138.2115,880.4033,80.0079,1.0000,1.0000,1.0000,23.5764,10.7576,21.5151,23.5764,20.8959,1,1
320,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,202.3885,119.5295,572.5800,107.2471,1.0000,1.0000,1.0000,23.5764,11.5813,23.1627,23.5764,22.6601,1,1
321,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,415.6177,115.0118,627.6797,96.9634,1.0000,1.0000,1.0000,22.4601,11.0686,17.8810,22.4601,22.1372,1,1
322,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,791.5422,110.1313,928.5853,118.6922,1.0000,1.0000,1.0000,22.8586,11.9534,22.7723,22.8586,23.9068,1,1
323,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,68.6905,131.0995,41.3318,201.8815,1.0000,1.0000,1.0000,22.4601,12.3603,24.7205,22.4601,22.0084,1,1
324,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,658.1385,125.2583,200.2616,153.4815,1.0000,1.0000,1.0000,22.4601,12.5946,25.1892,22.4601,22.9995,1,1
325,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,135.8322,113.3023,801.9681,246.5801,1.0000,1.0000,1.0000,22.4601,12.4471,22.3535,22.4601,24.8941,1,1
326,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,558.5819,114.2285,294.5247,281.7565,1.0000,1.0000,1.0000,22.4601,11.5702,19.3537,22.4601,23.1404,1,1
327,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,708.8060,127.0558,298.5000,204.7147,1.0000,1.0000,1.0000,22.4601,12.5132,25.0263,22.4601,22.6315,1,1
328,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,50.7080,104.9865,646.5536,98.1700,1.0000,1.0000,1.0000,22.4601,11.2023,18.2639,22.4601,22.4046,1,1
329,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,831.8875,139.1451,868.4688,36.4823,1.0000,1.0000,1.0000,22.8586,12.1745,24.3489,22.8586,23.7505,1,1
330,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,555.1669,125.0934,451.9780,347.8111,1.0000,1.0000,1.0000,23.5764,11.0258,21.4668,23.5764,22.0517,1,1
