Mode,Description,Output_Size_bytes,Avg_Transmission_Time_ms,Total_Energy_mJ,Energy_per_ms_mW,Energy_per_byte_mJ,Energy_per_byte_uJ
Mode 6 (Transmission),Layer 0 전송,400,134.87545787545787,66632.25315718165,646.546453117839,166.58063289295413,166580.63289295413
Mode 6 (Transmission),Layer 1 전송,320,134.87545787545787,66632.25315718165,646.546453117839,208.22579111619265,208225.79111619265
Mode 6 (Transmission),Layer 2 전송,240,134.87545787545787,66632.25315718165,646.546453117839,277.63438815492356,277634.38815492357
Mode 6 (Transmission),Layer 3 전송,160,134.87545787545787,66632.25315718165,646.546453117839,416.4515822323853,416451.5822323853
Mode 6 (Transmission),Layer 4 전송,80,134.87545787545787,66632.25315718165,646.546453117839,832.9031644647706,832903.1644647706
