Mode,Description,FLOPs,Execution_Time_ms,Total_Energy_mJ,Energy_per_ms_mW,Output_Size_bytes,Energy_per_MFLOP_mJ
Mode 1,Layer 0,232800.0,1305.2444444444445,577768.6865980781,459.9618691912883,400.0,2481824.2551463833
Mode 2,Layer 1,291000.0,1603.1507936507935,800618.32741533,499.29353938493256,320.0,2751265.729949588
Mode 3,Layer 2,436500.0,2400.373015873016,1197625.8266091014,498.7901222971898,240.0,2743701.7791731986
Mode 4,Layer 3,582000.0,3207.4238095238097,1589970.508060129,495.4991363720281,160.0,2731908.089450394
Mode 5,Layer 4,727500.0,3845.223809523809,1901282.08275281,494.74763265290466,80.0,2613446.161859533
