CSV_File,Sensor_Type,Mode,Mode_Description,Duration_ms,Power_Mean_mW,Power_Std_mW,Power_Max_mW,Power_Min_mW,Total_Energy_mJ,Energy_per_ms_mW,Layer_ID,FLOPs,FLOPs_per_ms,Energy_per_MFLOP_mJ,Assumed_Bytes,Energy_per_Byte_uJ,Energy_3sec_mJ,Energy_3sec_J
eps32-c3-supermini_profiles_no-sensing.csv,no-sensing,0,Idle (대기),92244,422.60682634730534,48.63813807891466,1212.62,166.66,38982944.089580834,422.60682634730534,,,,,,,,
eps32-c3-supermini_profiles_no-sensing.csv,no-sensing,1,Layer 0 (추론),99383,282.25473044798787,236.9258817878801,503.29,-3.62,28051321.87611238,282.25473044798787,0.0,232800.0,2.342452934606522,120495368.88364424,,,,
eps32-c3-supermini_profiles_no-sensing.csv,no-sensing,2,Layer 1 (추론),80156,485.6783628318584,3.174939832879415,501.66,467.64,38930034.851150446,485.6783628318584,1.0,291000.0,3.6304206796746343,133780188.49192594,,,,
eps32-c3-supermini_profiles_no-sensing.csv,no-sensing,3,Layer 2 (추론),80949,484.7121470588235,4.10893877708943,507.73,460.66,39236963.592264704,484.7121470588235,2.0,436500.0,5.392284030685987,89889950.95593289,,,,
eps32-c3-supermini_profiles_no-sensing.csv,no-sensing,4,Layer 3 (추론),81746,485.66729028697574,3.394259778689399,508.33,467.23,39701358.31179912,485.66729028697574,3.0,582000.0,7.119614415384239,68215392.28831464,,,,
eps32-c3-supermini_profiles_no-sensing.csv,no-sensing,5,Layer 4 (추론),82532,484.94871409633225,2.796299480749341,505.2,467.58,40023787.27179849,484.94871409633225,4.0,727500.0,8.81476275868754,55015515.15023848,,,,
eps32-c3-supermini_profiles_no-sensing.csv,no-sensing,6,Transmission (전송),89866,969.8255555555556,710.7162551046655,2210.77,403.69,87154343.37555556,969.8255555555556,,,,,256.0,340446653.8107639,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,0,Idle (대기),30203,443.0913414634147,3.9316191375128264,461.41,438.06,13382687.786219515,443.0913414634147,,,,,,,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,1,Layer 0 (추론),31033,504.3853703703703,2.598525315573461,514.0,496.27,15652591.198703703,504.3853703703703,0.0,232800.0,7.501691747494602,67236216.48927706,,,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,2,Layer 1 (추론),62700,505.2918518518519,3.281365973381379,527.16,494.25,31681799.111111116,505.2918518518519,1.0,291000.0,4.641148325358851,108872161.89385264,,,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,3,Layer 2 (추론),62749,504.67260296540366,3.2571849209754937,524.63,487.66,31667701.163476113,504.67260296540366,2.0,436500.0,6.956286155954676,72549143.55893725,,,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,4,Layer 3 (추론),62826,506.2875339087547,3.1610721864069995,525.64,492.61,31808020.605351422,506.2875339087547,3.0,582000.0,9.263680641772515,54652956.366583206,,,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,5,Layer 4 (추론),61015,505.11428400954657,3.109472889290122,524.63,487.93,30819548.038842484,505.11428400954657,4.0,727500.0,11.92329754978284,42363639.91593468,,,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,6,Transmission (전송),73189,665.3209999999999,240.64904392152658,1004.58,439.5,48694178.66899999,665.3209999999999,,,,,256.0,190211635.42578122,,
eps32-c3-supermini_profiles_ultrasonic.csv,ultrasonic,7,Sensing (ultrasonic),80322,449.65523537414964,18.94796060738288,522.32,424.18,36117207.81572245,449.65523537414964,,,,,,,1348965.706122449,1348.9657061224489
