battery_option_mah,max_battery_joules,mean_final_battery_pct,min_final_battery_pct,max_final_battery_pct,mean_avg_charging_mw,mean_avg_consumption_mw,mean_avg_net_power_mw,nodes_with_deep_sleep,revived_nodes,total_revivals,median_first_death_day,earliest_first_death_day,latest_first_death_day,median_first_revival_day,nodes_below_10pct_end,nodes_below_1pct_end
10,118.80000000000001,18.074031233021632,17.900319602213102,18.131230223582058,572.0355674090712,218.39595583364516,353.63961157608435,100,100,100,0.5022685185185185,0.5022685185185185,0.5024768518518519,1.000173611111111,0,0
50,594.0,19.638451364451186,19.57742449589677,19.639421131881633,572.0355674090712,222.68892709557804,349.34664031417395,100,100,100,0.5123842592592592,0.5123842592592592,0.5125925925925926,1.0006712962962963,0,0
100,1188.0,19.816527702475447,19.799156539394588,19.822247601531544,572.0355674090712,228.0593997984731,343.9761676113135,100,100,100,0.5250347222222222,0.5250347222222222,0.5252430555555555,1.0012847222222223,0,0
150,1781.9999999999998,19.875642486265935,19.86406171087869,19.879455752303326,572.0355674090712,233.429897663114,338.60566974677005,100,100,100,0.5376851851851852,0.5376851851851852,0.5378935185185185,1.0018981481481481,0,0
200,2376.0,19.90538287479434,19.90525932338597,19.914813959920366,572.0355674090712,238.8002697190256,333.2352976908633,100,100,100,0.5503356481481482,0.5503356481481482,0.5505324074074074,1.002511574074074,0,0
250,2970.0,19.923080710604818,19.922981869478118,19.930625578705634,572.0355674090712,244.16840237956004,327.8671650303505,100,100,100,0.5629861111111111,0.5629861111111111,0.5631828703703704,1.003136574074074,0,0
500,5940.0,19.965796247516824,19.965746826953474,19.969568681567488,572.0355674090712,271.0163877502635,301.01917965978924,100,100,100,0.6262268518518519,0.6262268518518519,0.6264236111111111,1.0062037037037037,0,0
1000,11880.0,19.989100408014256,19.984713908448747,19.990789238445252,572.0355674090712,315.7112974853501,256.32426992482016,100,100,100,0.7526967592592593,0.7362847222222222,0.7529050925925926,1.012349537037037,0,0
