battery_option_mah,node_id,max_battery_joules,initial_battery_joules,wake_threshold_joules,sleep_threshold_joules,avg_charging_mw,avg_consumption_mw,avg_net_power_mw,min_battery_pct,max_battery_pct,final_battery_pct,final_battery_joules,deep_sleep_pct,active_pct,depleted_once,revival_count,revived_once,first_death_time_ms,first_death_day,first_revival_time_ms,first_revival_day
150,0,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,977.4792971106417,233.03015301410602,744.4491441357371,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,1,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,2,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,751.0664863462497,233.03015301410602,518.0363333548341,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,3,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,936.887159122404,233.03015301410602,703.8570061457261,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,4,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,986.3765360173701,233.03015301410602,753.3463830429048,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,5,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,696.0894136304917,233.03015301410602,463.0592606318484,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,6,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,485.01481178366174,233.03015301410602,251.9846587825388,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,7,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,8,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,892.1594401887187,233.03015301410602,659.1292872089157,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,9,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,937.9566831816635,233.03015301410602,704.9265302050584,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,10,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,781.528712088,233.03015301410602,548.4985590985019,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,11,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,899.2631243462255,233.62849932957113,665.63462505133,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.27797517775643,53.72202482224357,True,29,True,46456000.0,0.5376851851851852,86441000.0,1.000474537037037
150,12,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,877.385152907781,233.03015301410602,644.3549999266688,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,13,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,14,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,15,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,382.48719433976004,233.03015301410602,149.45704132680055,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,16,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,17,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,805.1712377214421,233.03015301410602,572.1410847346617,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,18,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,19,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,20,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,21,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,1044.4689078473768,233.03015301410602,811.4387548758948,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,22,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,312.2154836827518,233.03015301410602,79.18533067568316,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,23,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,624.1762159688662,233.03015301410602,391.1460629622568,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,24,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,25,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,487.59420241124434,233.03015301410602,254.56404940152032,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,26,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,705.648879699289,233.03015301410602,472.61872670089275,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,27,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,28,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,29,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,782.050274610228,233.03015301410602,549.0201216207822,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,30,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,961.0830375697872,233.03015301410602,728.0528845941474,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,31,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,32,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,963.6628803767671,233.03015301410602,730.6327274014792,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,33,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,894.3903719062724,233.03015301410602,661.3602189262989,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,34,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,771.024892523919,233.03015301410602,537.9947395331202,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,35,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,36,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,712.613306902952,233.03015301410602,479.583153907193,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,37,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,38,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,39,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,282.93583646304654,233.03015301410602,49.905683456688756,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,40,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,812.8513951315492,233.03015301410602,579.821242144817,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,41,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,766.0799368238622,233.03015301410602,533.0497838327617,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,42,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,906.9759031690995,233.03015301410602,673.9457501896991,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
150,43,1781.9999999999998,890.9999999999999,445.49999999999994,356.4,278.91104222155263,233.03015301410602,45.880889216124125,19.875721746565418,100.0,19.875721746565418,354.1853615237957,46.41558932574083,53.58441067425917,True,29,True,46456000.0,0.5376851851851852,86564000.0,1.0018981481481481
