sender_id,receiver_id,distance_m,delivery_cnt,pdr,100pct,any_del
22,67,280.045,296,0.98667,False,True
22,68,228.285,300,1.0,True,True
22,69,171.397,300,1.0,True,True
22,70,563.598,271,0.90333,False,True
22,71,580.53,266,0.88667,False,True
22,72,471.03,288,0.96,False,True
22,73,586.291,256,0.85333,False,True
22,74,467.686,292,0.97333,False,True
22,75,259.33,298,0.99333,False,True
22,76,128.537,300,1.0,True,True
22,77,729.211,238,0.79333,False,True
22,78,662.638,241,0.80333,False,True
22,79,510.278,282,0.94,False,True
22,80,525.801,276,0.92,False,True
22,81,429.985,288,0.96,False,True
22,82,70.758,300,1.0,True,True
22,83,454.412,283,0.94333,False,True
22,84,456.287,291,0.97,False,True
22,85,335.231,300,1.0,True,True
22,86,229.422,300,1.0,True,True
22,87,626.329,263,0.87667,False,True
22,88,453.444,289,0.96333,False,True
22,89,200.44,300,1.0,True,True
22,90,465.621,280,0.93333,False,True
22,91,521.907,277,0.92333,False,True
22,92,832.1,198,0.66,False,True
22,93,627.746,255,0.85,False,True
22,94,534.661,275,0.91667,False,True
22,95,525.796,281,0.93667,False,True
22,96,161.902,300,1.0,True,True
22,97,771.634,231,0.77,False,True
22,98,493.961,280,0.93333,False,True
22,99,670.288,253,0.84333,False,True
23,0,487.087,293,0.97667,False,True
23,1,624.057,259,0.86333,False,True
23,2,127.503,300,1.0,True,True
23,3,456.157,289,0.96333,False,True
23,4,516.498,273,0.91,False,True
23,5,405.284,295,0.98333,False,True
23,6,353.406,295,0.98333,False,True
23,7,426.437,285,0.95,False,True
23,8,740.054,231,0.77,False,True
23,9,420.802,296,0.98667,False,True
23,10,270.031,298,0.99333,False,True
23,11,454.764,286,0.95333,False,True
23,12,566.737,271,0.90333,False,True
23,13,559.65,269,0.89667,False,True
23,14,690.666,249,0.83,False,True
23,15,159.564,300,1.0,True,True
23,16,296.537,299,0.99667,False,True
23,17,436.269,290,0.96667,False,True
23,18,352.853,293,0.97667,False,True
23,19,273.503,299,0.99667,False,True
23,20,646.884,256,0.85333,False,True
23,21,718.326,236,0.78667,False,True
23,22,473.89,288,0.96,False,True
23,24,258.403,299,0.99667,False,True
23,25,696.936,236,0.78667,False,True
23,26,263.342,299,0.99667,False,True
23,27,317.985,299,0.99667,False,True
23,28,442.421,292,0.97333,False,True
23,29,585.254,273,0.91,False,True
23,30,590.985,266,0.88667,False,True
23,31,315.916,299,0.99667,False,True
23,32,635.645,266,0.88667,False,True
23,33,528.166,278,0.92667,False,True
23,34,554.27,262,0.87333,False,True
23,35,136.501,300,1.0,True,True
23,36,787.227,218,0.72667,False,True
23,37,177.248,300,1.0,True,True
23,38,726.576,233,0.77667,False,True
23,39,186.338,300,1.0,True,True
23,40,180.61,300,1.0,True,True
23,41,422.126,287,0.95667,False,True
23,42,479.901,277,0.92333,False,True
23,43,342.673,299,0.99667,False,True
23,44,630.461,258,0.86,False,True
23,45,514.596,284,0.94667,False,True
23,46,480.26,284,0.94667,False,True
23,47,816.186,205,0.68333,False,True
23,48,369.098,294,0.98,False,True
23,49,592.195,263,0.87667,False,True
23,50,702.447,234,0.78,False,True
23,51,740.993,233,0.77667,False,True
23,52,699.307,244,0.81333,False,True
23,53,316.756,297,0.99,False,True
23,54,772.028,219,0.73,False,True
23,55,210.353,300,1.0,True,True
23,56,681.483,245,0.81667,False,True
23,57,342.44,293,0.97667,False,True
23,58,145.713,300,1.0,True,True
23,59,449.968,290,0.96667,False,True
23,60,839.885,191,0.63667,False,True
23,61,814.051,206,0.68667,False,True
23,62,639.931,259,0.86333,False,True
23,63,670.846,249,0.83,False,True
23,64,639.11,253,0.84333,False,True
23,65,415.525,294,0.98,False,True
23,66,518.834,274,0.91333,False,True
23,67,524.41,279,0.93,False,True
23,68,541.953,277,0.92333,False,True
23,69,633.368,253,0.84333,False,True
23,70,122.755,300,1.0,True,True
23,71,800.879,213,0.71,False,True
23,72,635.533,245,0.81667,False,True
23,73,413.844,289,0.96333,False,True
23,74,827.069,205,0.68333,False,True
23,75,680.517,248,0.82667,False,True
23,76,568.12,265,0.88333,False,True
23,77,633.989,246,0.82,False,True
23,78,344.53,298,0.99333,False,True
23,79,713.024,236,0.78667,False,True
23,80,100.206,300,1.0,True,True
23,81,384.168,296,0.98667,False,True
23,82,544.588,280,0.93333,False,True
23,83,678.657,236,0.78667,False,True
23,84,125.768,300,1.0,True,True
23,85,376.663,292,0.97333,False,True
23,86,605.874,260,0.86667,False,True
23,87,405.591,293,0.97667,False,True
23,88,160.509,300,1.0,True,True
23,89,281.043,300,1.0,True,True
23,90,630.305,258,0.86,False,True
23,91,843.482,203,0.67667,False,True
23,92,632.194,258,0.86,False,True
23,93,176.558,300,1.0,True,True
23,94,302.805,296,0.98667,False,True
23,95,649.419,253,0.84333,False,True
23,96,327.079,297,0.99,False,True
23,97,493.741,282,0.94,False,True
23,98,542.081,268,0.89333,False,True
23,99,244.998,298,0.99333,False,True
24,0,597.404,269,0.89667,False,True
24,1,646.591,252,0.84,False,True
24,2,134.477,300,1.0,True,True
24,3,325.822,297,0.99,False,True
24,4,485.781,288,0.96,False,True
24,5,473.735,279,0.93,False,True
24,6,537.232,276,0.92,False,True
24,7,287.023,297,0.99,False,True
24,8,755.41,221,0.73667,False,True
24,9,448.139,285,0.95,False,True
24,10,326.295,299,0.99667,False,True
24,11,207.101,299,0.99667,False,True
24,12,450.346,288,0.96,False,True
24,13,714.424,223,0.74333,False,True
24,14,830.798,214,0.71333,False,True
24,15,413.682,288,0.96,False,True
24,16,450.443,285,0.95,False,True
24,17,672.991,248,0.82667,False,True
24,18,109.909,300,1.0,True,True
24,19,134.094,300,1.0,True,True
24,20,829.867,196,0.65333,False,True
24,21,629.435,247,0.82333,False,True
24,22,638.154,250,0.83333,False,True
24,23,258.403,299,0.99667,False,True
24,25,676.343,242,0.80667,False,True
24,26,256.065,298,0.99333,False,True
24,27,363.393,294,0.98,False,True
24,28,372.339,296,0.98667,False,True
24,29,562.72,278,0.92667,False,True
24,30,365.666,294,0.98,False,True
24,31,422.929,284,0.94667,False,True
24,32,808.633,199,0.66333,False,True
24,33,738.49,234,0.78,False,True
24,34,744.358,222,0.74,False,True
24,35,223.334,300,1.0,True,True
24,36,779.833,225,0.75,False,True
24,37,335.253,294,0.98,False,True
