sender_id,receiver_id,distance_m,delivery_cnt,pdr,100pct,any_del
1,52,295.982,300,1.0,True,True
1,53,442.748,297,0.99,False,True
1,54,301.333,300,1.0,True,True
1,55,437.145,294,0.98,False,True
1,56,123.265,300,1.0,True,True
1,57,397.327,299,0.99667,False,True
1,58,731.775,220,0.73333,False,True
1,59,218.754,300,1.0,True,True
1,60,232.977,300,1.0,True,True
1,61,190.334,300,1.0,True,True
1,62,15.975,300,1.0,True,True
1,63,498.936,292,0.97333,False,True
1,64,498.261,295,0.98333,False,True
1,65,441.291,298,0.99333,False,True
1,66,607.128,265,0.88333,False,True
1,67,640.215,261,0.87,False,True
1,68,586.145,271,0.90333,False,True
1,69,446.667,299,0.99667,False,True
1,70,744.233,228,0.76,False,True
1,71,221.211,300,1.0,True,True
1,72,137.689,300,1.0,True,True
1,73,458.954,295,0.98333,False,True
1,74,219.634,300,1.0,True,True
1,75,562.882,282,0.94,False,True
1,76,456.282,293,0.97667,False,True
1,77,490.542,291,0.97,False,True
1,78,612.757,271,0.90333,False,True
1,79,151.924,300,1.0,True,True
1,80,616.577,262,0.87333,False,True
1,81,314.711,299,0.99667,False,True
1,82,356.72,299,0.99667,False,True
1,83,95.273,300,1.0,True,True
1,84,676.254,236,0.78667,False,True
1,85,668.554,246,0.82,False,True
1,86,570.094,280,0.93333,False,True
1,87,516.54,293,0.97667,False,True
1,88,690.588,234,0.78,False,True
1,89,392.897,300,1.0,True,True
1,90,134.249,300,1.0,True,True
1,91,219.907,300,1.0,True,True
1,92,642.312,247,0.82333,False,True
1,93,706.095,230,0.76667,False,True
1,94,482.302,296,0.98667,False,True
1,95,201.12,300,1.0,True,True
1,96,355.968,300,1.0,True,True
1,97,655.561,261,0.87,False,True
1,98,242.972,300,1.0,True,True
1,99,866.488,164,0.54667,False,True
2,0,547.505,288,0.96,False,True
2,1,643.339,261,0.87,False,True
2,3,395.022,295,0.98333,False,True
2,4,506.28,290,0.96667,False,True
2,5,441.332,299,0.99667,False,True
2,6,448.576,291,0.97,False,True
2,7,359.634,300,1.0,True,True
