Time(ms),Voltage(V),Current(mA),Power(mW),Mode
13564,5.06,105.50,534.25,3
13577,5.07,104.40,529.10,3
13589,5.07,99.60,505.17,3
13602,5.07,104.60,530.11,3
13614,5.07,104.40,529.10,3
13626,5.07,104.40,529.10,3
13639,5.07,100.10,507.71,3
13651,5.07,104.30,528.59,3
13664,5.07,104.30,528.59,3
13676,5.07,104.40,529.10,3
13689,5.07,102.80,521.40,3
13701,5.07,106.00,537.63,3
13713,5.07,104.20,528.09,3
13726,5.07,99.70,505.68,3
13738,5.07,99.80,505.79,3
13751,5.07,104.40,529.10,3
13763,5.07,104.00,527.07,3
13775,5.07,100.50,509.33,3
13788,5.07,103.60,525.46,3
13800,5.07,104.20,528.09,3
13813,5.07,105.10,532.65,3
13825,5.07,99.50,504.66,3
13837,5.07,104.30,529.01,3
13850,5.07,104.40,529.10,3
13862,5.07,104.40,529.10,3
13875,5.01,205.00,1026.64,6
13887,5.08,96.80,491.36,6
13900,5.07,102.10,517.44,6
