Time(ms),Voltage(V),Current(mA),Power(mW),Mode
6511,5.17,-0.30,-1.55,1
6524,5.17,-0.30,-1.55,1
6536,5.17,0.00,0.00,1
6548,5.17,-0.40,-2.07,1
6560,5.17,-0.20,-1.03,1
6572,5.17,-0.20,-1.03,1
6584,5.17,-0.40,-2.07,1
6596,5.17,-0.40,-2.07,1
6608,5.17,-0.30,-1.55,1
6620,5.17,-0.40,-2.07,1
6632,5.17,-0.20,-1.03,1
6644,5.17,-0.40,-2.07,1
6656,5.17,-0.40,-2.07,1
6668,5.17,-0.30,-1.55,1
6680,5.17,-0.40,-2.07,1
6692,5.17,-0.30,-1.55,1
6704,5.17,-0.30,-1.55,1
6716,5.17,-0.20,-1.03,1
6728,5.17,-0.30,-1.55,1
6740,5.17,-0.20,-1.03,1
6753,5.17,-0.30,-1.55,1
6765,5.17,-0.20,-1.03,1
6777,5.17,-0.40,-2.07,1
6789,5.17,-0.60,-3.10,1
6801,5.17,-0.40,-2.07,1
6813,5.17,-0.10,-0.52,1
6825,5.17,-0.20,-1.03,1
6837,5.17,-0.30,-1.55,1
6849,5.17,-0.40,-2.07,1
6861,5.17,-0.10,-0.52,1
6873,5.17,-0.10,-0.52,1
6885,5.17,-0.20,-1.03,1
6897,5.17,-0.50,-2.59,1
6909,5.17,-0.30,-1.55,1
6921,5.17,-0.30,-1.55,1
6933,5.17,-0.20,-1.03,1
6945,5.17,-0.20,-1.03,1
6957,5.17,-0.20,-1.03,1
6969,5.17,-0.30,-1.55,1
6981,5.17,-0.20,-1.03,1
6993,5.17,-0.20,-1.03,1
7005,5.17,-0.40,-2.07,1
7017,5.17,-0.30,-1.55,1
7029,5.17,-0.50,-2.58,1
7041,5.17,-0.30,-1.55,1
7053,5.17,-0.30,-1.55,1
7065,5.17,-0.10,-0.52,1
7077,5.17,-0.40,-2.07,1
7089,5.17,-0.30,-1.55,1
7101,5.17,-0.20,-1.03,1
7113,5.17,-0.40,-2.07,1
7125,5.17,-0.30,-1.55,1
7137,5.17,-0.30,-1.55,1
7149,5.17,-0.20,-1.03,1
7161,5.17,-0.50,-2.58,1
7173,5.17,-0.40,-2.07,1
7185,5.17,-0.20,-1.03,1
7197,5.17,-0.30,-1.55,1
7209,5.17,-0.10,-0.52,1
7221,5.17,-0.40,-2.07,1
7233,5.17,-0.30,-1.55,1
7245,5.17,-0.30,-1.55,1
7258,5.17,-0.10,-0.52,1
7270,5.17,-0.20,-1.03,1
7282,5.17,-0.20,-1.03,1
7294,5.17,-0.30,-1.55,1
7306,5.17,-0.40,-2.07,1
7318,5.17,-0.40,-2.07,1
7330,5.17,-0.40,-2.07,1
7342,5.17,-0.30,-1.55,1
7354,5.17,-0.20,-1.03,1
7366,5.17,-0.20,-1.03,1
7378,5.17,-0.40,-2.07,1
7390,5.17,0.10,0.52,1
7402,5.17,-0.30,-1.55,1
7414,5.17,-0.30,-1.55,1
7426,5.17,0.00,0.00,1
7438,5.17,-0.30,-1.55,1
