Time(ms),Voltage(V),Current(mA),Power(mW),Mode
58887,4.91,96.50,473.62,1
58899,4.90,97.90,480.10,1
58911,4.91,96.80,475.09,1
58924,4.91,96.50,473.62,1
58936,4.90,96.20,471.76,1
58948,4.91,97.50,478.53,1
58961,4.91,96.80,475.09,1
58973,4.91,95.90,470.68,1
58985,4.91,97.30,477.55,1
58998,4.91,96.40,473.13,1
59010,4.91,96.50,473.62,1
59022,4.91,96.20,472.15,1
59035,4.91,95.80,470.19,1
59047,4.91,96.90,475.59,1
59059,4.90,96.40,472.75,1
59072,4.90,97.60,478.63,1
59084,4.90,96.10,471.27,1
59096,4.91,96.30,472.64,1
59109,4.90,96.40,472.75,1
59121,4.91,96.10,471.66,1
59133,4.90,96.40,472.75,1
59146,4.91,96.00,471.17,1
59158,4.91,96.90,475.59,1
59170,4.91,96.30,472.64,1
59183,4.90,97.00,475.69,1
59195,4.91,96.40,473.13,1
59207,4.90,97.20,476.67,1
59220,4.90,96.40,472.75,1
59232,4.91,96.90,475.59,1
59244,4.91,99.60,488.84,1
59257,4.90,95.70,469.31,1
59269,4.91,96.00,471.17,1
59281,4.90,96.60,473.73,1
59294,4.90,96.30,472.26,1
59306,4.90,96.30,472.26,1
59318,4.91,96.00,471.17,1
59331,4.91,96.70,474.60,1
59343,4.91,96.30,472.64,1
59355,4.91,95.90,470.68,1
59368,4.91,96.20,472.15,1
59380,4.90,97.60,478.63,1
59392,4.91,96.30,472.64,1
59405,4.91,96.00,471.17,1
59417,4.90,96.30,472.26,1
59429,4.90,96.30,472.26,1
59442,4.91,96.40,473.13,1
59454,4.91,97.00,476.08,1
59466,4.91,95.80,470.57,1
59479,4.91,97.30,477.55,1
59491,4.90,97.40,477.65,1
59503,4.90,96.20,471.76,1
59516,4.90,97.20,476.67,1
59528,4.90,96.00,470.78,1
59540,4.90,97.30,477.16,1
59553,4.91,96.40,473.13,1
59565,4.91,96.30,472.64,1
59577,4.91,96.50,473.62,1
59590,4.90,96.50,473.24,1
59602,4.91,96.40,473.13,1
59614,4.91,96.60,474.11,1
59628,4.91,96.40,473.13,1
59640,4.91,96.40,473.13,1
59652,4.91,96.30,472.64,1
59665,4.91,96.40,473.13,1
59677,4.91,96.70,474.60,1
59689,4.91,96.30,472.64,1
59702,4.90,96.90,475.20,1
59714,4.91,96.40,473.13,1
59726,4.90,96.50,473.24,1
59739,4.91,96.40,473.13,1
59751,4.91,96.50,473.62,1
59763,4.91,96.50,473.62,1
59776,4.90,96.50,473.24,1
59788,4.91,97.20,477.06,1
59800,4.91,96.30,472.64,1
59813,4.91,96.30,472.64,1
59825,4.91,96.50,473.62,1
59837,4.91,96.30,472.64,1
59850,4.90,96.10,471.27,1
59862,4.91,96.40,473.52,1
59874,4.91,96.70,474.60,1
59887,4.91,96.40,473.13,1
59899,4.90,97.00,475.69,1
59911,4.91,96.40,473.13,1
59924,4.90,97.70,479.12,1
59936,4.91,96.40,473.13,1
59948,4.91,97.20,477.06,1
59961,4.91,96.30,472.64,1
59973,4.90,96.10,471.27,1
59985,4.90,97.20,476.67,1
59998,4.91,96.30,472.64,1
60010,4.91,96.30,472.64,1
60022,4.91,96.20,472.53,1
60035,4.90,96.30,472.26,1
60047,4.91,96.30,472.64,1
60059,4.90,96.70,474.22,1
60072,4.91,96.40,473.13,1
60084,4.55,198.90,904.60,6
60097,4.92,94.40,464.07,6
60109,4.92,93.80,461.12,7
60121,4.92,93.40,459.15,7
60134,4.92,92.50,454.73,7
60146,4.91,93.10,457.31,7
60158,4.92,93.20,458.17,7
60171,4.92,93.00,457.19,7
60183,4.92,93.60,460.14,7
60195,4.91,93.20,457.80,7
60208,4.91,93.80,460.75,7
60220,4.92,93.30,458.66,7
60232,4.91,93.40,458.78,7
60245,4.91,92.70,454.97,7
60257,4.91,93.90,461.24,7
60269,4.92,93.20,458.17,7
60282,4.91,93.60,459.76,7
60294,4.91,94.20,462.71,7
60306,4.91,93.30,458.29,7
60319,4.92,93.50,459.65,7
60331,4.91,93.10,457.31,7
60343,4.91,94.60,464.68,7
60356,4.92,93.20,458.17,7
60368,4.91,95.40,468.60,7
60380,4.91,93.40,458.78,7
60393,4.91,94.20,462.71,7
60405,4.91,94.10,461.84,7
60417,4.91,94.30,462.82,7
60430,4.91,93.60,459.76,7
60442,4.91,93.20,457.80,7
60454,4.91,93.00,456.82,7
60467,4.91,93.30,458.29,7
60479,4.91,94.10,461.84,7
60491,4.91,93.50,459.27,7
60504,4.91,93.50,459.27,7
60516,4.91,93.50,459.27,7
60528,4.91,93.10,457.31,7
60541,4.91,93.30,458.29,7
60553,4.90,96.70,474.22,7
60565,4.91,93.20,457.80,7
60578,4.91,93.50,459.27,7
60590,4.92,93.00,457.19,7
60602,4.91,93.30,458.29,7
60615,4.91,93.50,459.27,7
60627,4.91,93.30,457.92,7
60639,4.91,94.60,464.68,7
60652,4.91,95.30,467.73,7
60664,4.92,93.10,457.68,7
60676,4.91,93.60,459.76,7
60689,4.91,93.50,459.27,7
60701,4.91,93.00,456.82,7
60713,4.91,94.10,461.84,7
60726,4.91,94.30,463.20,7
60738,4.91,93.30,458.29,7
60750,4.92,93.10,457.68,7
60763,4.91,94.30,462.82,7
60775,4.91,93.20,457.80,7
60787,4.91,93.30,458.29,7
60800,4.91,93.10,457.31,7
60812,4.91,94.30,462.82,7
60824,4.91,93.60,459.76,7
60837,4.92,93.30,458.66,7
60849,4.91,93.40,458.78,7
60861,4.91,93.00,456.82,7
60874,4.91,93.30,457.92,7
60886,4.91,93.20,457.80,7
60898,4.91,93.30,458.29,7
60911,4.91,93.40,458.78,7
60923,4.91,93.00,456.44,7
60935,4.92,93.20,458.17,7
60948,4.91,93.30,458.29,7
60960,4.91,93.60,459.76,7
60972,4.91,93.90,461.24,7
60985,4.91,92.80,455.83,7
60997,4.91,93.20,457.80,7
61009,4.91,93.30,458.29,7
61022,4.91,95.00,466.64,7
61034,4.91,93.30,458.29,7
61046,4.91,93.10,457.31,7
61059,4.91,93.40,458.78,7
61071,4.91,93.30,458.29,7
61083,4.91,93.10,457.31,7
61096,4.91,93.30,458.29,7
61108,4.91,96.00,471.55,7
61120,4.91,94.40,463.69,7
61133,4.92,93.30,458.66,7
61145,4.91,92.90,456.32,7
61157,4.91,93.30,457.92,7
61170,4.91,93.00,456.82,7
61182,4.91,94.30,463.20,7
61194,4.91,93.20,457.43,7
61207,4.91,93.10,457.31,7
61219,4.91,93.30,458.29,7
61231,4.91,94.50,463.81,7
61244,4.91,94.50,463.81,7
61256,4.91,95.10,466.75,7
61268,4.91,93.90,460.86,7
61281,4.91,93.20,457.80,7
61293,4.92,93.50,459.65,7
61305,4.91,93.50,459.27,7
61318,4.91,93.10,457.31,7
61330,4.91,92.80,455.83,7
61342,4.90,93.30,457.54,7
61355,4.91,93.40,458.78,7
61367,4.90,93.30,457.54,7
61379,4.92,93.30,458.66,7
61392,4.92,93.90,461.61,7
61404,4.91,93.50,459.27,7
61416,4.91,94.70,464.79,7
61429,4.91,93.50,459.27,7
61441,4.91,93.60,459.76,7
61453,4.91,92.80,455.83,7
61466,4.91,93.50,459.27,7
61478,4.91,94.30,462.82,7
61490,4.91,93.10,457.31,7
61503,4.90,94.20,461.58,7
61515,4.91,94.50,464.18,7
61527,4.91,94.40,463.32,7
61540,4.91,94.00,461.35,7
61552,4.91,93.10,457.31,7
61564,4.91,93.10,457.31,7
61577,4.91,94.80,465.66,7
61589,4.91,92.90,456.32,7
61601,4.91,94.10,462.22,7
61614,4.91,93.40,458.78,7
61626,4.91,94.70,464.79,7
61638,4.91,93.00,456.82,7
61651,4.91,93.10,457.31,7
61663,4.91,93.80,460.75,7
61675,4.91,93.60,459.76,7
61688,4.91,94.20,462.71,7
61700,4.91,93.20,457.80,7
61712,4.91,93.30,458.29,7
61725,4.91,93.60,459.39,7
61737,4.91,94.10,462.22,7
61749,4.91,93.90,461.24,7
61762,4.91,93.10,457.31,7
61774,4.91,93.30,458.29,7
61786,4.90,97.60,478.24,7
61799,4.92,93.30,458.66,7
61811,4.91,94.20,462.33,7
61823,4.91,93.00,456.82,7
61836,4.91,94.20,462.71,7
61848,4.91,93.10,457.31,7
61860,4.91,93.50,459.27,7
61873,4.91,93.10,457.31,7
61885,4.91,93.10,457.31,7
61897,4.91,92.80,455.83,7
61910,4.91,93.20,457.80,7
61922,4.91,93.40,458.78,7
61935,4.91,92.80,455.83,7
61947,4.91,94.20,462.33,7
61959,4.91,93.20,457.80,7
61972,4.91,94.50,463.81,7
61984,4.91,93.10,457.31,7
61996,4.91,94.40,463.32,7
62009,4.91,92.70,455.34,7
62021,4.91,93.50,458.90,7
62033,4.91,93.50,459.27,7
62046,4.91,93.40,458.78,7
62058,4.91,93.50,458.90,7
62070,4.91,93.10,457.31,7
62083,4.91,93.60,459.76,7
62095,4.91,95.20,467.62,7
62107,4.91,93.60,459.76,7
62120,4.91,93.60,459.76,7
62132,4.91,95.60,469.20,7
62144,4.91,94.30,462.82,7
62157,4.91,93.50,459.27,7
62169,4.91,93.30,458.29,7
62181,4.91,93.60,459.39,7
62194,4.91,93.40,458.78,7
62206,4.91,93.20,457.80,7
62218,4.91,93.10,457.31,7
62231,4.91,93.50,459.27,7
62243,4.91,93.70,460.25,7
62255,4.90,93.60,459.01,7
62268,4.91,93.40,458.78,7
62280,4.91,93.80,460.37,7
62292,4.91,94.30,462.82,7
62305,4.91,92.70,454.97,7
62317,4.92,92.80,456.20,7
62329,4.91,94.10,462.22,7
62342,4.91,93.10,457.31,7
62354,4.91,93.00,456.82,7
62366,4.91,93.30,457.92,7
62379,4.91,93.40,458.78,7
62391,4.91,94.60,464.30,7
62403,4.90,95.80,469.80,7
62416,4.91,95.40,468.22,7
62428,4.91,93.40,458.78,7
62440,4.91,93.10,457.31,7
62453,4.91,93.90,460.86,7
62465,4.91,93.70,460.25,7
62477,4.91,93.30,458.29,7
62490,4.91,93.70,460.25,7
62502,4.91,92.90,456.32,7
62514,4.91,94.60,464.68,7
62527,4.91,93.80,460.75,7
62539,4.90,95.90,470.29,7
62551,4.91,93.30,458.29,7
62564,4.91,93.90,460.86,7
62576,4.91,93.10,457.31,7
62588,4.91,92.90,455.95,7
62601,4.91,94.20,462.71,7
62613,4.91,93.20,457.43,7
62625,4.91,93.30,458.29,7
62638,4.91,93.40,458.78,7
62650,4.90,95.10,466.37,7
62662,4.91,93.20,457.80,7
62675,4.91,93.90,461.24,7
62687,4.91,93.20,457.80,7
62699,4.91,94.50,463.81,7
62712,4.91,93.10,457.31,7
62724,4.91,94.00,461.73,7
62736,4.92,93.10,457.68,7
62749,4.91,93.50,459.27,7
62761,4.91,93.60,459.76,7
62773,4.91,94.10,461.84,7
62786,4.91,96.10,471.66,7
62798,4.91,93.30,458.29,7
62810,4.91,93.30,458.29,7
62823,4.91,93.20,457.80,7
62835,4.91,92.60,454.85,7
62847,4.91,93.00,456.82,7
62860,4.91,94.20,462.33,7
62872,4.91,92.70,455.34,7
62884,4.91,93.20,457.80,7
62897,4.91,93.40,458.78,7
62909,4.91,93.60,459.76,7
62921,4.90,95.30,467.35,7
62935,4.91,93.30,458.29,7
62947,4.92,94.40,464.07,7
62959,4.91,93.80,460.75,7
62972,4.91,93.90,460.86,7
62984,4.90,95.70,468.93,7
62996,4.91,94.40,463.32,7
63009,4.91,93.80,460.75,7
63021,4.91,94.10,461.84,7
63033,4.91,92.80,455.83,7
63046,4.91,93.40,458.78,7
63058,4.90,94.20,461.96,7
63070,4.91,92.90,456.32,7
63083,4.91,93.70,460.25,7
63095,4.92,93.20,458.17,7
63107,4.92,92.40,454.24,7
63120,4.91,93.10,457.31,7
63132,4.90,96.20,471.76,7
63144,4.92,92.80,456.20,7
63157,4.91,93.10,457.31,7
63169,4.91,93.80,460.75,7
63181,4.92,94.40,464.07,7
63194,4.91,93.30,457.92,7
63206,4.91,93.30,458.29,7
63218,4.91,93.30,458.29,7
63231,4.92,93.30,458.66,7
63243,4.91,94.60,464.30,7
63255,4.92,93.20,458.17,7
63268,4.92,95.60,469.97,7
63280,4.91,93.30,458.29,7
63292,4.91,93.10,457.31,7
63305,4.91,94.20,462.71,7
63317,4.94,84.50,417.43,7
63329,4.90,96.40,472.75,2
63342,4.90,96.20,471.76,2
63354,4.90,96.40,472.36,2
63366,4.90,96.60,473.34,2
63379,4.90,96.70,474.22,2
63391,4.90,96.80,474.71,2
63403,4.90,96.90,475.20,2
63416,4.90,97.90,479.71,2
63428,4.90,97.30,477.16,2
63440,4.90,96.80,474.32,2
63453,4.90,96.60,473.73,2
63465,4.90,96.80,474.71,2
63477,4.90,97.60,478.24,2
63490,4.90,97.70,478.73,2
63502,4.90,96.60,473.34,2
63514,4.90,96.50,472.85,2
63527,4.90,96.80,474.71,2
63539,4.90,96.30,472.26,2
63551,4.90,96.10,471.27,2
63564,4.90,96.50,473.24,2
63576,4.90,97.70,478.73,2
63588,4.90,96.60,473.34,2
63601,4.90,96.30,471.87,2
63613,4.90,96.60,473.73,2
63625,4.90,97.00,475.69,2
63638,4.90,96.10,471.27,2
63650,4.90,96.40,472.36,2
63662,4.90,96.30,471.87,2
63675,4.90,96.20,471.76,2
63687,4.90,96.70,474.22,2
63699,4.90,96.40,472.36,2
63712,4.90,97.20,476.67,2
63724,4.90,97.40,477.26,2
63736,4.90,98.10,481.08,2
63749,4.90,97.00,475.30,2
63761,4.90,96.60,473.34,2
63773,4.90,96.00,470.78,2
63786,4.90,97.50,477.75,2
63798,4.90,97.60,478.24,2
63810,4.90,96.70,473.83,2
63823,4.90,96.30,472.26,2
63835,4.90,96.40,472.75,2
63847,4.90,96.60,473.73,2
63860,4.90,97.40,477.26,2
63872,4.90,96.40,472.75,2
63884,4.90,97.60,478.24,2
63896,4.90,96.70,473.83,2
63909,4.90,97.00,475.69,2
63921,4.90,96.80,474.71,2
63933,4.90,96.20,471.76,2
63946,4.90,97.00,475.30,2
63958,4.90,96.80,474.71,2
63970,4.90,96.80,474.71,2
63983,4.90,97.00,475.30,2
63995,4.90,97.60,478.24,2
64007,4.90,96.50,473.24,2
64020,4.90,97.80,479.22,2
64032,4.90,96.90,475.20,2
64044,4.90,97.80,479.61,2
64057,4.90,96.80,474.32,2
64069,4.90,96.40,472.75,2
64081,4.90,97.10,475.79,2
64094,4.90,96.60,473.73,2
64106,4.90,96.60,473.34,2
64118,4.90,96.40,472.75,2
64131,4.90,96.60,473.73,2
64143,4.90,97.00,475.69,2
64155,4.90,97.00,475.69,2
64168,4.90,96.50,473.24,2
64180,4.90,97.30,476.77,2
64192,4.90,97.70,478.73,2
64205,4.90,96.00,470.78,2
64217,4.90,96.40,472.75,2
64229,4.90,97.60,478.63,2
64242,4.90,96.40,472.36,2
64254,4.90,96.70,474.22,2
64266,4.90,96.40,472.36,2
64279,4.90,97.10,475.79,2
64291,4.90,96.50,473.24,2
64303,4.90,97.60,478.24,2
64316,4.90,96.60,473.73,2
64328,4.90,97.60,477.85,2
64340,4.90,96.80,474.32,2
64353,4.90,96.80,474.32,2
64365,4.90,96.90,474.81,2
64377,4.90,96.90,474.81,2
64390,4.90,96.70,474.22,2
64402,4.90,96.10,471.27,2
64414,4.90,96.70,473.83,2
64427,4.90,98.90,484.61,2
64439,4.90,97.30,476.77,2
64451,4.90,99.00,484.70,2
64464,4.90,96.60,473.73,2
64476,4.90,96.90,475.20,2
64488,4.90,96.70,474.22,2
64501,4.90,97.40,477.26,2
64513,4.90,97.50,478.14,2
64525,4.90,96.50,473.24,2
64538,4.90,97.30,476.77,2
64550,4.90,96.80,474.71,2
64562,4.90,96.80,474.32,2
64575,4.90,97.20,476.67,2
64587,4.90,96.30,472.26,2
64599,4.90,97.60,478.24,2
64612,4.90,96.70,473.83,2
64624,4.90,96.60,473.73,2
64636,4.90,96.40,472.75,2
64649,4.90,97.80,478.83,2
64661,4.90,98.20,480.79,2
64673,4.90,96.30,472.26,2
64686,4.90,96.60,473.73,2
64698,4.90,96.60,473.73,2
64710,4.90,96.90,474.81,2
64723,4.90,96.30,471.87,2
64735,4.90,99.00,484.70,2
64747,4.90,97.40,477.26,2
64760,4.90,97.00,475.69,2
64772,4.90,99.30,486.57,2
64784,4.90,96.20,471.76,2
64797,4.90,97.90,479.71,2
64809,4.90,96.80,474.71,2
64821,4.90,97.50,477.75,2
64834,4.90,96.50,473.24,2
64846,4.90,96.70,474.22,2
64858,4.90,96.70,474.22,2
64871,4.90,96.50,473.24,2
64883,4.90,96.50,472.85,2
64895,4.90,96.80,474.71,2
64908,4.54,198.80,903.35,6
64920,4.91,93.60,459.76,6
64932,4.92,93.40,459.15,7
64945,4.91,94.20,462.71,7
64957,4.91,93.00,456.82,7
64969,4.92,93.00,457.19,7
64982,4.91,93.60,459.76,7
64994,4.90,96.20,471.76,7
65006,4.92,93.10,457.68,7
65019,4.91,94.50,463.81,7
65031,4.91,93.60,459.76,7
65043,4.92,90.30,444.64,7
65056,4.92,93.00,457.19,7
65068,4.91,94.10,462.22,7
65080,4.91,93.70,460.25,7
65093,4.91,93.50,459.27,7
65105,4.91,93.10,457.31,7
65117,4.91,94.40,463.69,7
65130,4.91,94.10,461.84,7
65142,4.92,93.30,458.66,7
65154,4.92,93.40,459.15,7
65167,4.91,93.30,457.92,7
65179,4.92,93.30,458.66,7
65191,4.92,92.80,456.20,7
65204,4.91,93.60,459.76,7
65216,4.91,94.00,461.35,7
65228,4.91,93.60,459.76,7
65241,4.91,93.20,457.80,7
65253,4.91,93.30,458.29,7
65265,4.91,93.20,457.80,7
65278,4.91,93.40,458.41,7
65290,4.91,93.40,458.78,7
65302,4.92,93.40,459.15,7
65315,4.91,94.10,461.84,7
65327,4.91,94.10,461.84,7
65339,4.92,93.00,457.19,7
65352,4.92,94.10,462.60,7
65364,4.92,94.40,464.07,7
65376,4.91,94.00,461.35,7
65389,4.92,92.90,456.70,7
65401,4.91,93.10,457.31,7
65413,4.91,93.40,458.78,7
65426,4.91,94.20,462.71,7
65438,4.91,93.00,456.82,7
65450,4.92,93.00,457.19,7
65463,4.91,94.00,461.73,7
65475,4.91,93.10,457.31,7
65487,4.91,93.10,457.31,7
65500,4.91,93.30,458.29,7
65512,4.91,93.40,458.78,7
65524,4.91,94.20,462.33,7
65537,4.92,93.20,458.17,7
65549,4.92,93.90,461.61,7
65561,4.92,93.90,461.61,7
65574,4.92,93.30,458.66,7
65586,4.91,93.40,458.41,7
65598,4.91,93.60,459.76,7
65611,4.91,93.20,457.80,7
65623,4.92,93.40,459.15,7
65635,4.91,93.60,459.76,7
65648,4.91,93.50,459.27,7
65660,4.91,94.00,461.35,7
65672,4.91,94.20,462.33,7
65685,4.91,93.30,458.29,7
65697,4.91,93.40,458.78,7
65709,4.91,95.20,467.62,7
